end user	0.473
firing line	0.179
game plan	0.231
application form	0.210
snail mail	0.319
web site	0.556
flea market	0.232
grandfather clock	0.179
diamond wedding	0.256
guilt trip	0.192
silver spoon	0.187
rush hour	0.352
china clay	0.392
cocktail dress	0.165
mailing list	0.192
spelling bee	0.446
public service	0.151
head teacher	0.244
video game	0.227
spinning jenny	0.182
think tank	0.316
cash cow	0.381
swan song	0.281
monkey business	0.238
snake oil	0.525
smoking gun	0.355
balance sheet	0.256
zebra crossing	0.209
cutting edge	0.254
radio station	0.174
search engine	0.312
shrinking violet	0.128
face value	0.290
human being	0.302
sacred cow	0.349
number crunching	0.136
silver screen	0.142
melting pot	0.323
kangaroo court	0.201
ground floor	0.193
rat run	0.546
law firm	0.578
polo shirt	0.296
ivory tower	0.287
lip service	0.447
health insurance	0.162
couch potato	0.207
chain reaction	0.192
silver bullet	0.148
graduate student	0.175
cloud nine	0.278
front runner	0.176
agony aunt	0.332
rock bottom	0.213
acid test	0.288
climate change	0.260
lotus position	0.186
sitting duck	0.225
car park	0.431
gold mine	0.261
gravy train	0.194
case study	0.280
night owl	0.432
pecking order	0.188
eye candy	0.443
nest egg	0.475
role model	0.361
fashion plate	0.182
crocodile tear	0.262
rat race	0.485
crash course	0.247
rocket science	0.302
memory lane	0.299
smoking jacket	0.144
interest rate	0.183
engine room	0.153
blame game	0.293
brass ring	0.331
panda car	0.371
research project	0.105
call centre	0.317
graveyard shift	0.306
credit card	0.152
cheat sheet	0.288
parking lot	0.362
fine line	0.278
brick wall	0.184
speed limit	0.293
swimming pool	0.186
bank account	0.231
